City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Cao Bang,VN,22.6667,106.25,85.96,79,82,3.56,broken clouds
81,Saldanha,ZA,-33.0117,17.9442,57.25,93,0,2.98,clear sky
82,Vao,NC,-22.6667,167.4833,74.93,73,23,3.62,few clouds
83,Rio Grande,BR,-32.035,-52.0986,59.95,98,100,6.89,light rain
84,Pisco,PE,-13.7,-76.2167,59.05,88,100,2.3,mist
85,Moindou,NC,-21.6924,165.677,77.0,70,32,7.49,scattered clouds
86,Panguiranan,PH,12.0699,123.3185,86.63,68,100,12.33,overcast clouds
87,Lebu,CL,-37.6167,-73.65,44.98,82,15,14.9,few clouds
88,New Norfolk,AU,-42.7826,147.0587,61.92,78,100,1.01,overcast clouds
89,Saint George,US,37.1041,-113.5841,82.99,17,0,0.0,clear sky
90,Leningradskiy,RU,69.3833,178.4167,39.56,82,91,6.2,overcast clouds
91,Manuk Mangkaw,PH,4.8,119.85,84.0,70,99,7.25,overcast clouds
92,Gobabis,NA,-22.45,18.9667,52.02,37,0,6.64,clear sky
93,Astorga,BR,-23.2325,-51.6656,57.88,72,1,7.99,clear sky
94,Iskateley,RU,67.6803,53.1512,54.21,64,98,19.73,overcast clouds
95,Kuvandyk,RU,51.4781,57.3552,52.14,67,9,12.48,clear sky
96,San Patricio,US,28.017,-97.5169,78.66,80,22,6.02,few clouds
97,Shiloh,US,38.5614,-89.8973,70.92,86,75,9.22,broken clouds
98,Provideniya,RU,64.3833,-173.3,32.11,100,75,8.95,fog
99,Khash,IR,28.2211,61.2158,86.81,13,0,1.99,clear sky
100,Albany,US,42.6001,-73.9662,61.56,69,100,6.38,overcast clouds
101,Port Alfred,ZA,-33.5906,26.891,62.04,85,93,10.71,light rain
102,Esperance,AU,-33.8667,121.9,65.52,58,8,6.15,clear sky
103,Tiarei,PF,-17.5333,-149.3333,78.82,74,7,13.65,clear sky
104,Naze,JP,28.3667,129.4833,76.12,74,79,10.58,broken clouds
105,Kahului,US,20.8947,-156.47,75.22,71,20,11.5,few clouds
106,Atuona,PF,-9.8,-139.0333,78.24,76,13,19.48,light rain
107,Berlevag,NO,70.8578,29.0864,51.75,58,52,9.22,broken clouds
108,Acajutla,SV,13.5928,-89.8275,80.44,77,100,6.8,overcast clouds
109,Tasiilaq,GL,65.6145,-37.6368,33.96,78,96,2.39,overcast clouds
110,Castelo,BR,-20.6036,-41.1847,61.86,94,10,3.0,clear sky
111,Tessalit,ML,20.1986,1.0114,84.72,29,89,5.26,overcast clouds
112,Yellowknife,CA,62.456,-114.3525,48.72,40,20,3.44,few clouds
113,Ornskoldsvik,SE,63.2909,18.7153,47.35,100,100,4.61,overcast clouds
114,Sioux Lookout,CA,50.1001,-91.917,48.27,93,100,3.44,light rain
115,Buraydah,SA,26.326,43.975,84.65,14,21,15.01,few clouds
116,Maniitsoq,GL,65.4167,-52.9,32.76,62,64,12.95,broken clouds
117,Komsomolskiy,UZ,40.4272,71.7189,86.72,28,47,0.0,scattered clouds
118,Huilong,CN,31.8111,121.655,69.76,79,100,7.45,light rain
119,Gat,IL,31.61,34.7642,70.09,58,0,7.34,clear sky
120,Ancud,CL,-41.8697,-73.8203,38.12,77,3,5.79,clear sky
121,Price,US,39.5994,-110.8107,66.11,23,0,11.5,clear sky
122,Lampang,TH,18.3333,99.5,95.79,47,20,8.05,few clouds
123,Udachnyy,RU,66.4167,112.4,37.38,49,100,14.67,overcast clouds
124,Mnogovershinnyy,RU,53.9353,139.9242,43.25,75,96,7.29,overcast clouds
125,Smithers,CA,54.7804,-127.1743,46.72,93,100,0.0,light rain
126,Moscow,RU,55.7522,37.6156,54.14,62,94,3.38,overcast clouds
127,Nagtipunan,PH,16.2167,121.6,93.63,49,98,5.03,overcast clouds
128,Maningrida,AU,-12.0667,134.2667,90.34,34,100,6.11,overcast clouds
129,Nikolayevsk-Na-Amure,RU,53.1406,140.73,64.49,56,97,6.85,overcast clouds
130,Arraial Do Cabo,BR,-22.9661,-42.0278,71.33,80,0,18.99,clear sky
131,Ipora,BR,-16.4419,-51.1178,60.19,57,21,5.73,few clouds
132,Bakaly,RU,55.1789,53.8028,48.85,69,0,11.95,clear sky
133,Antofagasta,CL,-23.65,-70.4,58.28,81,44,2.93,scattered clouds
134,Ponca City,US,36.707,-97.0856,53.62,96,100,9.22,light rain
135,Winnemucca,US,40.973,-117.7357,59.05,29,0,4.61,clear sky
136,Les Cayes,HT,18.2,-73.75,76.48,84,14,2.95,few clouds
137,Ahuimanu,US,21.4447,-157.8378,78.51,65,20,12.66,few clouds
138,Hasaki,JP,35.7333,140.8333,79.29,72,97,13.0,overcast clouds
139,Hirara,JP,24.8,125.2833,77.27,94,75,6.91,shower rain
140,Yerbogachen,RU,61.2767,108.0108,50.65,40,100,13.58,overcast clouds
141,Necochea,AR,-38.5473,-58.7368,44.06,68,16,6.2,few clouds
142,Cravo Norte,CO,6.3017,-70.2041,75.31,94,91,4.94,overcast clouds
143,Clyde River,CA,70.4692,-68.5914,16.03,86,100,20.71,overcast clouds
144,Bonnyville,CA,54.2668,-110.735,55.2,83,65,2.53,broken clouds
145,Port Macquarie,AU,-31.4333,152.9167,66.88,80,37,3.62,scattered clouds
146,Alofi,NU,-19.0595,-169.9187,76.89,88,74,5.75,broken clouds
147,Bolgatanga,GH,10.7856,-0.8514,80.15,71,92,6.46,overcast clouds
148,La Ronge,CA,55.1001,-105.2842,52.05,58,75,11.5,broken clouds
149,Cockburn Town,TC,21.4612,-71.1419,79.07,75,5,18.28,clear sky
150,Mount Gambier,AU,-37.8333,140.7667,58.6,84,66,8.93,broken clouds
151,Ghanzi,BW,-21.5667,21.7833,52.03,56,0,1.41,clear sky
152,Victoria,HK,22.2855,114.1577,87.96,87,52,7.0,broken clouds
153,Khatanga,RU,71.9667,102.5,34.14,63,34,9.22,scattered clouds
154,Kalulushi,ZM,-12.8378,28.0919,52.9,72,0,1.7,clear sky
155,Guadalupe Y Calvo,MX,26.1,-106.9667,51.58,61,0,4.65,clear sky
156,Kodiak,US,57.79,-152.4072,53.11,66,0,4.61,clear sky
157,Voh,NC,-20.9667,164.7,77.97,70,56,4.65,broken clouds
158,Yulara,AU,-25.2406,130.9889,74.88,35,6,8.72,clear sky
159,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,65,40,5.75,scattered clouds
160,Harper,LR,4.375,-7.7169,77.99,82,96,5.64,overcast clouds
161,Faya,SA,18.3851,42.4509,72.12,21,16,4.09,few clouds
162,Wagar,SD,16.1525,36.2032,89.19,14,39,5.88,scattered clouds
163,Cidreira,BR,-30.1811,-50.2056,65.66,91,100,7.61,overcast clouds
164,Kedougou,SN,12.5579,-12.1743,81.45,60,99,4.18,overcast clouds
